node_type,vector_column,feature_index,feature_name,safe_primary_input,modeling_note
track,features_with_popularity_context,16,key_1,True,included in safe feature vector
track,features_with_popularity_context,17,key_2,True,included in safe feature vector
track,features_with_popularity_context,18,key_3,True,included in safe feature vector
track,features_with_popularity_context,19,key_4,True,included in safe feature vector
track,features_with_popularity_context,20,key_5,True,included in safe feature vector
track,features_with_popularity_context,21,key_6,True,included in safe feature vector
track,features_with_popularity_context,22,key_7,True,included in safe feature vector
track,features_with_popularity_context,23,key_8,True,included in safe feature vector
track,features_with_popularity_context,24,key_9,True,included in safe feature vector
track,features_with_popularity_context,25,key_10,True,included in safe feature vector
track,features_with_popularity_context,26,key_11,True,included in safe feature vector
track,features_with_popularity_context,27,time_signature_0,True,included in safe feature vector
track,features_with_popularity_context,28,time_signature_1,True,included in safe feature vector
track,features_with_popularity_context,29,time_signature_2,True,included in safe feature vector
track,features_with_popularity_context,30,time_signature_3,True,included in safe feature vector
track,features_with_popularity_context,31,time_signature_4,True,included in safe feature vector
track,features_with_popularity_context,32,time_signature_5,True,included in safe feature vector
track,features_with_popularity_context,33,title_hash_00,True,included in safe feature vector
track,features_with_popularity_context,34,title_hash_01,True,included in safe feature vector
track,features_with_popularity_context,35,title_hash_02,True,included in safe feature vector
track,features_with_popularity_context,36,title_hash_03,True,included in safe feature vector
track,features_with_popularity_context,37,title_hash_04,True,included in safe feature vector
track,features_with_popularity_context,38,title_hash_05,True,included in safe feature vector
track,features_with_popularity_context,39,title_hash_06,True,included in safe feature vector
track,features_with_popularity_context,40,title_hash_07,True,included in safe feature vector
track,features_with_popularity_context,41,title_hash_08,True,included in safe feature vector
track,features_with_popularity_context,42,title_hash_09,True,included in safe feature vector
track,features_with_popularity_context,43,title_hash_10,True,included in safe feature vector
track,features_with_popularity_context,44,title_hash_11,True,included in safe feature vector
track,features_with_popularity_context,45,title_hash_12,True,included in safe feature vector
track,features_with_popularity_context,46,title_hash_13,True,included in safe feature vector
track,features_with_popularity_context,47,title_hash_14,True,included in safe feature vector
track,features_with_popularity_context,48,title_hash_15,True,included in safe feature vector
track,features_with_popularity_context,49,title_hash_16,True,included in safe feature vector
track,features_with_popularity_context,50,title_hash_17,True,included in safe feature vector
track,features_with_popularity_context,51,title_hash_18,True,included in safe feature vector
track,features_with_popularity_context,52,title_hash_19,True,included in safe feature vector
track,features_with_popularity_context,53,title_hash_20,True,included in safe feature vector
track,features_with_popularity_context,54,title_hash_21,True,included in safe feature vector
track,features_with_popularity_context,55,title_hash_22,True,included in safe feature vector
track,features_with_popularity_context,56,title_hash_23,True,included in safe feature vector
track,features_with_popularity_context,57,title_hash_24,True,included in safe feature vector
track,features_with_popularity_context,58,title_hash_25,True,included in safe feature vector
track,features_with_popularity_context,59,title_hash_26,True,included in safe feature vector
track,features_with_popularity_context,60,title_hash_27,True,included in safe feature vector
track,features_with_popularity_context,61,title_hash_28,True,included in safe feature vector
track,features_with_popularity_context,62,title_hash_29,True,included in safe feature vector
track,features_with_popularity_context,63,title_hash_30,True,included in safe feature vector
track,features_with_popularity_context,64,title_hash_31,True,included in safe feature vector
track,features_with_popularity_context,65,z_spud_popularity_context,False,optional context; exclude from primary leakage-safe experiment
